gx,gy,rollFiltered,pitchFiltered
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
-0.64,-0.64,-0.01,-0.01
0.31,0.31,0.00,0.00
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
-0.64,-0.64,-0.01,-0.01
0.31,0.31,0.00,0.00
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
-0.63,-0.63,-0.01,-0.01
0.31,0.31,0.00,0.00
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
-0.64,-0.64,-0.01,-0.01
0.31,0.31,0.00,0.00
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
-0.64,-0.64,-0.00,-0.00
0.31,0.31,0.00,0.00
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
-0.64,-0.64,-0.00,-0.00
0.30,0.30,0.00,0.00
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
-0.64,-0.64,-0.00,-0.00
0.29,0.29,-0.00,-0.00
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
-0.63,-0.63,-0.00,-0.00
0.30,0.30,-0.00,-0.00
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
-0.63,-0.63,0.00,0.00
0.30,0.30,-0.00,-0.00
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
-0.63,-0.63,0.00,0.00
0.31,0.31,-0.00,-0.00
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
-0.63,-0.63,0.00,0.00
0.31,0.31,-0.00,-0.00
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
-0.64,-0.64,-0.00,-0.00
0.30,0.30,-0.00,-0.00
0.05,0.05,0.05,0.05
0.05,0.05,0.05,0.05
-0.64,-0.64,-0.00,-0.00
0.31,0.31,0.00,0.00
