gx,gy,rollFiltered,pitchFiltered
0.03,0.06,0.03,0.06
0.04,0.06,0.04,0.06
-0.98,-0.98,-0.09,-0.09
0.25,0.25,0.01,0.01
0.07,0.05,0.07,0.05
0.05,0.05,0.05,0.05
-0.39,-0.39,-0.02,-0.02
0.17,0.17,-0.02,-0.02
0.03,0.05,0.03,0.05
0.05,0.05,0.05,0.05
-0.69,-0.69,-0.03,-0.03
0.52,0.52,0.03,0.03
0.08,0.05,0.08,0.05
0.07,0.05,0.07,0.05
-0.25,-0.25,0.05,0.05
0.40,0.40,0.04,0.04
0.03,0.06,0.03,0.06
0.03,0.06,0.03,0.06
-0.70,-0.70,0.03,0.03
0.44,0.44,0.06,0.06
0.09,0.06,0.09,0.06
0.09,0.06,0.09,0.06
-0.21,-0.21,0.11,0.11
0.13,0.13,0.01,0.01
0.01,0.04,0.01,0.04
0.03,0.05,0.03,0.05
-0.86,-0.86,0.04,0.04
0.59,0.59,0.06,0.06
0.10,0.06,0.10,0.06
0.09,0.06,0.09,0.06
-0.40,-0.40,0.08,0.08
0.22,0.22,0.03,0.03
0.01,0.05,0.01,0.05
0.01,0.05,0.01,0.05
-0.97,-0.97,-0.00,-0.00
0.62,0.62,0.09,0.09
0.10,0.06,0.10,0.06
0.10,0.06,0.10,0.06
-0.54,-0.54,0.02,0.02
0.11,0.11,0.03,0.03
0.00,0.04,0.00,0.04
0.00,0.05,0.00,0.05
-1.12,-1.12,-0.08,-0.08
0.48,0.48,0.05,0.05
0.10,0.07,0.10,0.07
0.10,0.06,0.10,0.06
-0.55,-0.55,-0.05,-0.05
0.08,0.08,-0.00,-0.00
0.01,0.04,0.01,0.04
0.01,0.04,0.01,0.04
-0.94,-0.94,-0.10,-0.10
0.52,0.52,0.04,0.04
0.10,0.07,0.10,0.07
