ax,ay,rollFiltered,pitchFiltered
-28.92,11.30,-28.92,11.30
-21.99,14.97,-21.99,14.97
21.99,21.99,8.77,8.77
-14.97,-14.97,-26.51,-26.51
32.17,-51.22,32.17,-51.22
-15.11,6.15,-15.11,6.15
15.11,15.11,10.04,10.04
-6.15,-6.15,-22.44,-22.44
-0.89,-14.80,-0.89,-14.80
-15.34,-23.74,-15.34,-23.74
15.34,15.34,11.10,11.10
23.74,23.74,-13.20,-13.20
12.81,9.04,12.81,9.04
-16.61,33.46,-16.61,33.46
16.61,16.61,12.20,12.20
-33.46,-33.46,-17.25,-17.25
42.30,-8.94,42.30,-8.94
0.52,-20.70,0.52,-20.70
-0.52,-0.52,9.65,9.65
20.70,20.70,-9.66,-9.66
11.19,-27.12,11.19,-27.12
37.79,7.18,37.79,7.18
-37.79,-37.79,0.17,0.17
-7.18,-7.18,-9.17,-9.17
15.23,-21.34,15.23,-21.34
-0.45,0.11,-0.45,0.11
0.45,0.45,0.22,0.22
-0.11,-0.11,-7.35,-7.35
-0.80,-14.78,-0.80,-14.78
5.53,23.93,5.53,23.93
-5.53,-5.53,-0.93,-0.93
-23.93,-23.93,-10.67,-10.67
-20.22,-33.30,-20.22,-33.30
26.57,-57.56,26.57,-57.56
-26.57,-26.57,-6.06,-6.06
57.56,57.56,2.98,2.98
7.05,-25.15,7.05,-25.15
1.16,-54.52,1.16,-54.52
-1.16,-1.16,-5.08,-5.08
54.52,54.52,13.29,13.29
1.75,-35.58,1.75,-35.58
13.07,-42.11,13.07,-42.11
-13.07,-13.07,-6.67,-6.67
42.11,42.11,19.05,19.05
-13.21,33.23,-13.21,33.23
-30.67,-6.14,-30.67,-6.14
30.67,30.67,0.79,0.79
6.14,6.14,16.47,16.47
20.07,10.90,20.07,10.90
10.80,-0.86,10.80,-0.86
-10.80,-10.80,-1.52,-1.52
0.86,0.86,13.35,13.35
-29.01,33.38,-29.01,33.38
18.14,-13.86,18.14,-13.86
-18.14,-18.14,-4.85,-4.85
13.86,13.86,13.45,13.45
-26.83,-8.17,-26.83,-8.17
-11.66,32.93,-11.66,32.93
11.66,11.66,-1.55,-1.55
-32.93,-32.93,4.18,4.18
19.79,17.31,19.79,17.31
-14.34,14.27,-14.34,14.27
14.34,14.34,1.63,1.63
-14.27,-14.27,0.49,0.49
4.28,14.96,4.28,14.96
6.90,33.04,6.90,33.04
-6.90,-6.90,-0.08,-0.08
-33.04,-33.04,-6.22,-6.22
-21.18,-15.23,-21.18,-15.23
-3.96,-43.46,-3.96,-43.46
3.96,3.96,0.73,0.73
43.46,43.46,3.72,3.72
-11.08,-13.74,-11.08,-13.74
-10.60,-53.48,-10.60,-53.48
10.60,10.60,2.71,2.71
53.48,53.48,13.67,13.67
-7.56,-9.70,-7.56,-9.70
7.14,-17.82,7.14,-17.82
-7.14,-7.14,0.74,0.74
17.82,17.82,14.50,14.50
-2.88,2.40,-2.88,2.40
1.21,-24.27,1.21,-24.27
-1.21,-1.21,0.35,0.35
24.27,24.27,16.45,16.45
19.66,3.90,19.66,3.90
-24.27,24.87,-24.27,24.87
24.27,24.27,5.13,5.13
-24.87,-24.87,8.19,8.19
36.53,6.91,36.53,6.91
-16.03,-31.48,-16.03,-31.48
16.03,16.03,7.31,7.31
31.48,31.48,12.85,12.85
9.33,-2.60,9.33,-2.60
45.09,-5.19,45.09,-5.19
-45.09,-45.09,-3.17,-3.17
5.19,5.19,11.32,11.32
17.67,-31.06,17.67,-31.06
1.19,-19.86,1.19,-19.86
-1.19,-1.19,-2.77,-2.77
19.86,19.86,13.03,13.03
-69.72,-69.72,-18.93,-18.93
33.66,-42.89,33.66,-42.89
-3.93,-28.00,-3.93,-28.00
3.93,3.93,9.68,9.68
28.00,28.00,-9.54,-9.54
-9.46,-5.13,-9.46,-5.13
6.74,-16.29,6.74,-16.29
-6.74,-6.74,6.39,6.39
16.29,16.29,-4.37,-4.37
-6.25,38.31,-6.25,38.31
-30.96,34.80,-30.96,34.80
30.96,30.96,11.31,11.31
-34.80,-34.80,-10.46,-10.46
-20.10,-1.76,-20.10,-1.76
1.34,-11.87,1.34,-11.87
-1.34,-1.34,8.78,8.78
11.87,11.87,-5.99,-5.99
-2.16,39.59,-2.16,39.59
-22.38,45.60,-22.38,45.60
22.38,22.38,11.50,11.50
-45.60,-45.60,-13.91,-13.91
19.45,10.62,19.45,10.62
2.92,20.30,2.92,20.30
-2.92,-2.92,8.62,8.62
-20.30,-20.30,-15.19,-15.19
-0.28,47.19,-0.28,47.19
12.97,-5.63,12.97,-5.63
-12.97,-12.97,4.30,4.30
5.63,5.63,-11.03,-11.03
13.28,-35.19,13.28,-35.19
-1.85,72.46,-1.85,72.46
1.85,1.85,3.81,3.81
-72.46,-72.46,-23.31,-23.31
-30.17,10.31,-30.17,10.31
27.25,-30.98,27.25,-30.98
-27.25,-27.25,-2.40,-2.40
30.98,30.98,-12.45,-12.45
-11.61,23.95,-11.61,23.95
-26.73,-14.95,-26.73,-14.95
26.73,26.73,3.42,3.42
14.95,14.95,-6.97,-6.97
-19.77,33.51,-19.77,33.51
11.45,-1.54,11.45,-1.54
-11.45,-11.45,0.45,0.45
1.54,1.54,-5.27,-5.27
-2.39,37.88,-2.39,37.88
-15.59,62.49,-15.59,62.49
15.59,15.59,3.48,3.48
-62.49,-62.49,-16.71,-16.71
9.60,-19.30,9.60,-19.30
9.67,-28.49,9.67,-28.49
-9.67,-9.67,0.85,0.85
28.49,28.49,-7.67,-7.67
-2.72,73.79,-2.72,73.79
-17.32,43.93,-17.32,43.93
17.32,17.32,4.14,4.14
-43.93,-43.93,-14.92,-14.92
32.56,-42.14,32.56,-42.14
1.90,37.59,1.90,37.59
