ax,ay,rollFiltered,pitchFiltered
6.94,19.61,6.94,19.61
1.08,1.00,1.08,1.00
1.21,1.88,1.21,1.88
0.91,1.62,0.91,1.62
0.83,-0.09,0.83,-0.09
0.36,-1.25,0.36,-1.25
-0.20,-2.16,-0.20,-2.16
-0.76,-2.18,-0.76,-2.18
-0.35,-2.07,-0.35,-2.07
0.08,-1.22,0.08,-1.22
0.47,-0.09,0.47,-0.09
1.10,1.11,1.10,1.11
1.04,1.87,1.04,1.87
0.90,1.05,0.90,1.05
0.74,-0.37,0.74,-0.37
0.03,-1.82,0.03,-1.82
-0.22,-2.31,-0.22,-2.31
-0.69,-2.10,-0.69,-2.10
-0.15,-1.59,-0.15,-1.59
-0.04,-0.48,-0.04,-0.48
0.93,0.16,0.93,0.16
0.51,-1.12,0.51,-1.12
0.08,-2.15,0.08,-2.15
-0.48,-2.32,-0.48,-2.32
-0.21,-2.21,-0.21,-2.21
-0.07,-0.76,-0.07,-0.76
0.45,0.09,0.45,0.09
1.06,1.48,1.06,1.48
1.16,1.79,1.16,1.79
1.15,1.06,1.15,1.06
0.62,-0.54,0.62,-0.54
0.06,-1.84,0.06,-1.84
-0.13,-2.42,-0.13,-2.42
-0.69,-1.97,-0.69,-1.97
-0.13,-1.44,-0.13,-1.44
-0.05,-0.67,-0.05,-0.67
0.18,0.52,0.18,0.52
0.68,1.38,0.68,1.38
1.25,1.51,1.25,1.51
1.24,0.59,1.24,0.59
0.57,-0.62,0.57,-0.62
-0.16,-2.25,-0.16,-2.25
0.11,0.07,0.11,0.07
0.89,1.37,0.89,1.37
1.20,1.62,1.20,1.62
1.24,1.11,1.24,1.11
0.56,-0.35,0.56,-0.35
-0.03,-1.70,-0.03,-1.70
-0.18,-2.48,-0.18,-2.48
-0.78,-2.07,-0.78,-2.07
-0.34,-1.52,-0.34,-1.52
0.30,-0.64,0.30,-0.64
0.75,0.57,0.75,0.57
0.61,1.47,0.61,1.47
0.90,1.31,0.90,1.31
1.10,0.09,1.10,0.09
0.44,-1.06,0.44,-1.06
0.09,-2.09,0.09,-2.09
-0.59,-2.17,-0.59,-2.17
0.04,-2.11,0.04,-2.11
-0.18,-1.60,-0.18,-1.60
0.52,-0.82,0.52,-0.82
1.15,0.73,1.15,0.73
1.01,1.51,1.01,1.51
0.99,1.34,0.99,1.34
1.10,-0.32,1.10,-0.32
0.31,-1.50,0.31,-1.50
0.78,-0.38,0.78,-0.38
1.12,0.82,1.12,0.82
0.60,1.66,0.60,1.66
0.68,1.21,0.68,1.21
0.93,-0.24,0.93,-0.24
0.50,-1.35,0.50,-1.35
0.00,-1.96,0.00,-1.96
-0.63,-2.19,-0.63,-2.19
-0.21,-2.17,-0.21,-2.17
0.09,-1.55,0.09,-1.55
0.58,-0.28,0.58,-0.28
1.34,1.09,1.34,1.09
