ax,ay,rollFiltered,pitchFiltered
0.52,0.47,0.52,0.47
-0.52,-0.52,-0.39,-0.39
-0.47,-0.47,-0.87,-0.87
-0.10,-0.77,-0.10,-0.77
0.95,0.36,0.95,0.36
-0.95,-0.95,-0.43,-0.43
-0.36,-0.36,-0.88,-0.88
0.90,-0.95,0.90,-0.95
1.20,0.85,1.20,0.85
-1.20,-1.20,-0.52,-0.52
-0.85,-0.85,-0.98,-0.98
1.26,-1.13,1.26,-1.13
1.22,0.55,1.22,0.55
-1.22,-1.22,-0.59,-0.59
-0.55,-0.55,-1.00,-1.00
1.14,-1.00,1.14,-1.00
1.45,0.55,1.45,0.55
-1.45,-1.45,-0.70,-0.70
-0.55,-0.55,-1.02,-1.02
1.13,-0.78,1.13,-0.78
1.42,0.41,1.42,0.41
-1.42,-1.42,-0.78,-0.78
-0.41,-0.41,-1.01,-1.01
1.24,0.01,1.24,0.01
1.37,0.57,1.37,0.57
-1.37,-1.37,-0.83,-0.83
-0.57,-0.57,-1.03,-1.03
0.95,-0.16,0.95,-0.16
1.39,0.69,1.39,0.69
-1.39,-1.39,-0.87,-0.87
-0.69,-0.69,-1.07,-1.07
1.24,0.90,1.24,0.90
1.97,1.20,1.97,1.20
-1.97,-1.97,-1.03,-1.03
-1.20,-1.20,-1.20,-1.20
1.29,0.94,1.29,0.94
1.83,1.43,1.83,1.43
-1.83,-1.83,-1.12,-1.12
-1.43,-1.43,-1.35,-1.35
1.22,0.77,1.22,0.77
1.51,1.44,1.51,1.44
-1.51,-1.51,-1.13,-1.13
-1.44,-1.44,-1.48,-1.48
1.21,0.90,1.21,0.90
1.82,1.50,1.82,1.50
-1.82,-1.82,-1.20,-1.20
-1.50,-1.50,-1.59,-1.59
1.44,1.00,1.44,1.00
1.70,0.88,1.70,0.88
-1.70,-1.70,-1.23,-1.23
-0.88,-0.88,-1.55,-1.55
0.98,1.56,0.98,1.56
1.55,0.95,1.55,0.95
-1.55,-1.55,-1.23,-1.23
-0.95,-0.95,-1.54,-1.54
1.45,1.64,1.45,1.64
1.70,1.29,1.70,1.29
-1.70,-1.70,-1.25,-1.25
-1.29,-1.29,-1.59,-1.59
1.41,1.38,1.41,1.38
1.98,0.33,1.98,0.33
-1.98,-1.98,-1.33,-1.33
-0.33,-0.33,-1.44,-1.44
1.04,1.51,1.04,1.51
1.21,-0.10,1.21,-0.10
-1.21,-1.21,-1.24,-1.24
0.10,0.10,-1.24,-1.24
1.02,1.33,1.02,1.33
0.98,0.02,0.98,0.02
-0.98,-0.98,-1.11,-1.11
-0.02,-0.02,-1.10,-1.10
1.46,0.68,1.46,0.68
0.56,-1.06,0.56,-1.06
-0.56,-0.56,-0.93,-0.93
1.06,1.06,-0.77,-0.77
1.35,0.16,1.35,0.16
0.01,-1.91,0.01,-1.91
-0.01,-0.01,-0.68,-0.68
1.91,1.91,-0.34,-0.34
1.10,0.56,1.10,0.56
-0.30,-1.75,-0.30,-1.75
0.30,0.30,-0.41,-0.41
1.75,1.75,-0.03,-0.03
0.52,-0.28,0.52,-0.28
-0.50,-1.93,-0.50,-1.93
0.50,0.50,-0.16,-0.16
1.93,1.93,0.26,0.26
-0.02,-1.55,-0.02,-1.55
-0.86,-2.36,-0.86,-2.36
0.86,0.86,0.11,0.11
2.36,2.36,0.57,0.57
-0.47,-1.93,-0.47,-1.93
-1.11,-2.45,-1.11,-2.45
1.11,1.11,0.38,0.38
2.45,2.45,0.84,0.84
-0.40,-1.97,-0.40,-1.97
-0.99,-2.56,-0.99,-2.56
0.99,0.99,0.57,0.57
2.56,2.56,1.08,1.08
-0.77,-2.43,-0.77,-2.43
-0.87,-2.55,-0.87,-2.55
0.87,0.87,0.70,0.70
2.55,2.55,1.26,1.26
-0.91,-2.78,-0.91,-2.78
-0.43,-2.29,-0.43,-2.29
0.99,0.99,-0.23,-0.23
2.09,2.09,-0.12,-0.12
0.51,-1.05,0.51,-1.05
-1.04,-2.40,-1.04,-2.40
1.04,1.04,0.10,0.10
2.40,2.40,0.27,0.27
-0.43,-2.24,-0.43,-2.24
-1.22,-2.53,-1.22,-2.53
